START_DT,END_DT,DAYS,STUDIO,START_TIME,DURATION,NAME,CLASS_SECTION,CLASS_NBR
01/27/2014,04/14/2014,MONDAY,1,16:00:00,2:50,EDUC100A,01,34255
01/27/2014,04/16/2014,WEDNESDAY,1,16:00:00,2:50,EDUC100A,03,34257
01/27/2014,05/16/2014,FRIDAY,2,09:00:00,2:50,NURS0129,01,32244
01/27/2014,05/16/2014,MONDAY,1,10:00:00,1:15,CRJ0101,05,32044
01/27/2014,05/16/2014,MONDAY,1,11:30:00,1:15,PHIL0006,02,31035
01/27/2014,05/16/2014,MONDAY,1,19:00:00,2:50,EDUC0120,01,34372
01/27/2014,05/16/2014,MONDAY,2,12:00:00,1:15,ANTH0001,01,33567
01/27/2014,05/16/2014,MONDAY,2,13:30:00,1:15,ANTH0013,01,33577
01/27/2014,05/16/2014,MONDAY,3,09:00:00,1:15,MGMT0010,01,33781
01/27/2014,05/16/2014,MONDAY,3,10:30:00,1:15,PHIL0026,03,31097
01/27/2014,05/16/2014,MONDAY,3,12:00:00,1:15,PHIL0103,02,30113
01/27/2014,05/16/2014,MONDAY,3,13:30:00,1:15,BIO0140,01,33150
01/27/2014,05/16/2014,MONDAY,3,16:30:00,0:50,BIO0124,01,32664
01/27/2014,05/16/2014,MONDAY,3,17:30:00,0:50,BIO0124,02,32665
01/27/2014,05/16/2014,THURSDAY,1,09:00:00,1:15,MGMT0102,03,31457
01/27/2014,05/16/2014,THURSDAY,1,10:30:00,1:15,CRJ0121,02,32064
01/27/2014,05/16/2014,THURSDAY,1,12:00:00,1:15,CHDV0141,01,34231
01/27/2014,05/16/2014,THURSDAY,1,13:30:00,1:15,PHIL0104,02,30955
01/27/2014,05/16/2014,THURSDAY,1,16:00:00,2:50,CHDV0145,01,34245
01/27/2014,05/16/2014,THURSDAY,1,19:30:00,1:15,MGMT0102,09,33784
01/27/2014,05/16/2014,THURSDAY,2,09:00:00,1:15,GOVT0001,11,34044
01/27/2014,05/16/2014,THURSDAY,2,10:30:00,1:15,STAT0001,11,32952
01/27/2014,05/16/2014,THURSDAY,2,12:00:00,1:15,MATH0001,13,32815
01/27/2014,05/16/2014,THURSDAY,2,16:30:00,1:50,NURS0014,01,32234
01/27/2014,05/16/2014,THURSDAY,3,09:00:00,1:15,CPE0064,01,31751
01/27/2014,05/16/2014,THURSDAY,3,09:00:00,1:15,EEE0064,01,31821
01/27/2014,05/16/2014,THURSDAY,3,10:30:00,1:15,CPE0185,01,31871
01/27/2014,05/16/2014,THURSDAY,3,10:30:00,1:15,EEE0174,01,31720
01/27/2014,05/16/2014,THURSDAY,3,12:00:00,1:15,GEOL0008,02,32635
01/27/2014,05/16/2014,THURSDAY,3,15:00:00,1:15,CHDV0133,03,34209
01/27/2014,05/16/2014,TUESDAY,1,09:00:00,1:15,MGMT0102,03,31457
01/27/2014,05/16/2014,TUESDAY,1,10:30:00,1:15,CRJ0121,02,32064
01/27/2014,05/16/2014,TUESDAY,1,12:00:00,1:15,CHDV0141,01,34231
01/27/2014,05/16/2014,TUESDAY,1,13:30:00,1:15,PHIL0104,02,30955
01/27/2014,05/16/2014,TUESDAY,1,16:00:00,2:50,EDS230A,01,34144
01/27/2014,05/16/2014,TUESDAY,1,19:30:00,1:15,MGMT0102,09,33784
01/27/2014,05/16/2014,TUESDAY,2,09:00:00,1:15,GOVT0001,11,34044
01/27/2014,05/16/2014,TUESDAY,2,10:30:00,1:15,STAT0001,11,32952
01/27/2014,05/16/2014,TUESDAY,2,12:00:00,1:15,MATH0001,13,32815
01/27/2014,05/16/2014,TUESDAY,2,16:30:00,2:50,CHDV0135,03,34214
01/27/2014,05/16/2014,TUESDAY,3,09:00:00,1:15,CPE0064,01,31751
01/27/2014,05/16/2014,TUESDAY,3,09:00:00,1:15,EEE0064,01,31821
01/27/2014,05/16/2014,TUESDAY,3,10:30:00,1:15,CPE0185,01,31871
01/27/2014,05/16/2014,TUESDAY,3,10:30:00,1:15,EEE0174,01,31720
01/27/2014,05/16/2014,TUESDAY,3,12:00:00,1:15,GEOL0008,02,32635
01/27/2014,05/16/2014,TUESDAY,3,15:00:00,1:15,CHDV0133,03,34209
01/27/2014,05/16/2014,WEDNESDAY,1,10:00:00,1:15,CRJ0101,05,32044
01/27/2014,05/16/2014,WEDNESDAY,1,11:30:00,1:15,PHIL0006,02,31035
01/27/2014,05/16/2014,WEDNESDAY,1,13:00:00,0:50,DEAF0154,01,34547
01/27/2014,05/16/2014,WEDNESDAY,1,14:30:00,0:50,DEAF0165,01,34554
01/27/2014,05/16/2014,WEDNESDAY,2,12:00:00,1:15,ANTH0001,01,33567
01/27/2014,05/16/2014,WEDNESDAY,2,13:30:00,1:15,ANTH0013,01,33577
01/27/2014,05/16/2014,WEDNESDAY,2,16:00:00,2:50,EDS0209,01,34156
01/27/2014,05/16/2014,WEDNESDAY,3,09:00:00,1:15,MGMT0010,01,33781
01/27/2014,05/16/2014,WEDNESDAY,3,10:30:00,1:15,PHIL0026,03,31097
01/27/2014,05/16/2014,WEDNESDAY,3,12:00:00,1:15,PHIL0103,02,30113
01/27/2014,05/16/2014,WEDNESDAY,3,13:30:00,1:15,BIO0140,01,33150
01/27/2014,05/16/2014,WEDNESDAY,3,16:30:00,0:50,BIO0124,01,32664
01/27/2014,05/16/2014,WEDNESDAY,3,17:30:00,0:50,BIO0124,02,32665
