START_DT,DAYS,STUDIO,COURSE_ID,CLASS_NBR
02-JUN-2014,MONDAY,1,140551,50039
03-JUN-2014,TUESDAY,1,118741,50329
03-JUN-2014,TUESDAY,1,140551,50039
04-JUN-2014,WEDNESDAY,1,118741,50329
04-JUN-2014,WEDNESDAY,1,140551,50039
09-JUN-2014,MONDAY,1,140551,50039
10-JUN-2014,TUESDAY,1,118741,50329
10-JUN-2014,TUESDAY,1,140551,50039
11-JUN-2014,WEDNESDAY,1,118741,50329
11-JUN-2014,WEDNESDAY,1,140551,50039
16-JUN-2014,MONDAY,1,140551,50039
17-JUN-2014,TUESDAY,1,118741,50329
17-JUN-2014,TUESDAY,1,140551,50039
18-JUN-2014,WEDNESDAY,1,118741,50329
18-JUN-2014,WEDNESDAY,1,140551,50039
23-JUN-2014,MONDAY,1,140551,50039
24-JUN-2014,TUESDAY,1,118741,50329
24-JUN-2014,TUESDAY,1,140551,50039
25-JUN-2014,WEDNESDAY,1,118741,50329
25-JUN-2014,WEDNESDAY,1,140551,50039
30-JUN-2014,MONDAY,1,140551,50039
01-JUL-2014,TUESDAY,1,118741,50329
01-JUL-2014,TUESDAY,1,140551,50039
02-JUL-2014,WEDNESDAY,1,118741,50329
02-JUL-2014,WEDNESDAY,1,140551,50039
07-JUL-2014,MONDAY,1,140551,50039
08-JUL-2014,TUESDAY,1,118741,50329
08-JUL-2014,TUESDAY,1,140551,50039
09-JUL-2014,WEDNESDAY,1,118741,50329
09-JUL-2014,WEDNESDAY,1,140551,50039
14-JUL-2014,MONDAY,1,140551,50039
15-JUL-2014,TUESDAY,1,118741,50329
15-JUL-2014,TUESDAY,1,140551,50039
16-JUL-2014,WEDNESDAY,1,118741,50329
16-JUL-2014,WEDNESDAY,1,140551,50039
21-JUL-2014,MONDAY,1,140551,50039
22-JUL-2014,TUESDAY,1,118741,50329
22-JUL-2014,TUESDAY,1,140551,50039
23-JUL-2014,WEDNESDAY,1,118741,50329
23-JUL-2014,WEDNESDAY,1,140551,50039
28-JUL-2014,MONDAY,1,140551,50039
29-JUL-2014,TUESDAY,1,118741,50329
29-JUL-2014,TUESDAY,1,140551,50039
30-JUL-2014,WEDNESDAY,1,118741,50329
30-JUL-2014,WEDNESDAY,1,140551,50039
04-AUG-2014,MONDAY,1,140551,50039
05-AUG-2014,TUESDAY,1,118741,50329
05-AUG-2014,TUESDAY,1,140551,50039
06-AUG-2014,WEDNESDAY,1,118741,50329
06-AUG-2014,WEDNESDAY,1,140551,50039
11-AUG-2014,MONDAY,1,140551,50039
12-AUG-2014,TUESDAY,1,118741,50329
12-AUG-2014,TUESDAY,1,140551,50039
13-AUG-2014,WEDNESDAY,1,118741,50329
13-AUG-2014,WEDNESDAY,1,140551,50039
18-AUG-2014,MONDAY,1,140551,50039
19-AUG-2014,TUESDAY,1,118741,50329
19-AUG-2014,TUESDAY,1,140551,50039
20-AUG-2014,WEDNESDAY,1,118741,50329
20-AUG-2014,WEDNESDAY,1,140551,50039
